dcontributor,dsubjecs,dtitle,Year
黄建笎,借贷;利息;天津;开平煤矿;煤;轮船招商局,盛宣怀复黄建笎函,1890-1894
黄建笎,借贷;天津;开平煤矿;煤;轮船招商局,盛宣怀复黄建笎函,1890-1894
汪金,图书;经世文编书局;苏州;薪俸;轮船招商局,盛宣怀复汪金函,1890-1894
？寿朋,亏空;花红;财务;轮船招商局,盛宣怀致？寿朋函,1890-1894
唐德熙，陈猷,天津;太古洋行;怡和洋行;拱北轮;烟台;电线;福建;轮船招商局;运输;麦拉;齐价合同,盛宣怀致唐德熙，陈猷函,1890-1894
王松森,吴友声;山东;捐赈;江苏;漕运;荐举;轮船招商局,盛宣怀致王松森函,1890-1894
王松森,人事;江苏;浙江;漕运;轮船招商局;齐价合同,盛宣怀致王松森函,1890-1894
王松森,李献之;江苏;浙江;湖南;漕运;轮船招商局;镇江府,盛宣怀致王松森函,1890-1894
王松森,江苏;漕运;胡念曾;轮船招商局,盛宣怀致王松森函,1890-1894
王松森,山东;江苏;浙江;漕运;赈济;轮船招商局;运费,盛宣怀致王松森函,1890-1894
王松森,南昌;广州;文牍处理;电报局,盛宣怀致王松森函,1890-1894
王松森,捐输;海防;烟台;经元善;赈济,盛宣怀致王松森函,1890-1894
王松森,刘元楷;旗昌洋行;浙江;漕运;轮船招商局;运费;马建忠,盛宣怀致王松森函,1890-1894
王松森,山东;捐输;海防;程艺甫;薪俸;赈济,盛宣怀致王松森函,1890-1894
王松森,山东;捐官;捐赈;杨向霖;杨廷杲;浙江;漕运,盛宣怀致王松森函,1890-1894
王松森,山东;捐官;杨向霖;杨廷杲;沈棠,盛宣怀致王松森函,1890-1894
王松森,江苏;浙江;漕运;轮船招商局;采办,盛宣怀致王松森函,1890-1894
王松森,捐官;杨廷杲;费辅臣,盛宣怀致王松森函,1890-1894
王松森,捐官;杨向霖;杨廷杲;沈棠,盛宣怀致王松森函,1890-1894
王松森,捐官;费辅臣;陈佛生,盛宣怀致王松森函,1890-1894
王松森,台湾;官磺;采办;齐功成,盛宣怀致王松森函,1890-1894
王松森,捐赈;江苏;浙江;海防;漕运;电报局,盛宣怀致王松森函,1890-1894
王松森,戴振年;漕运;薪俸;轮船招商局,盛宣怀致王松森函,1890-1894
王松森,仓储;修建;密尔登;码头;税务司;聂缉槼;轮船招商局;马建忠,盛宣怀致王松森函,1890-1894
王松森,唐德熙;江苏;浙江;漕运;租借;船只;轮船招商局,盛宣怀致王松森函,1890-1894
王松森,事件;广济轮;江苏;浙江;漕运;轮船招商局,盛宣怀致王松森函,1890-1894
王松森,四川;捐官;杨向霖;沈棠;海防;费辅臣,盛宣怀致王松森函,1890-1894
王松森,山东;徐冶生;捐输;江苏;海防;漕运;薪俸;轮船招商局;郑赐荣;金利源码头,盛宣怀致王松森函,1890-1894
王松森,山东;捐赈;江苏;浙江;漕运;瞿梧生;薪俸;郑顺甫,盛宣怀致王松森函,1890-1894
王松森,倪钧青;山东;捐赈;江苏;浙江;漕运;薪俸;轮船招商局;采办,盛宣怀致王松森函,1890-1894
王松森,唐德熙;山东;捐官;杨向霖;江苏;浙江;温灝;漕运;电报局;赈济;轮船招商局,盛宣怀致王松森函,1890-1894
王松森,山东;捐官;沈棠;海防,盛宣怀致王松森函,1890-1894
王松森,捐官;沈棠;漕运,盛宣怀致王松森函,1890-1894
王松森,人事;倪钧青;捐官;沈棠;漕运;王舒仲;轮船招商局,盛宣怀致王松森函,1890-1894
王松森,唐德熙;山东;捐官;沈棠;沈能虎;漕运;轮船招商局;采办,盛宣怀致王松森函,1890-1894
王松森,江海关;洋行;船只;轮船招商局;运输;采办,盛宣怀致王松森函,1890-1894
王松森,上海;东海关;洋行;漕运;轮船招商局,盛宣怀致王松森函,1890-1894
王松森,东海关;江海关;沈能虎;漕运;轮船招商局,盛宣怀致王松森函,1890-1894
王松森,上海;捐输;杨廷杲;江苏;浙江;漕运;税务;粮食;轮船招商局;运费;金世昕,盛宣怀致王松森函,1890-1894
王松森,东海关;江苏;浙江;漕运;赈济;轮船招商局;金利源码头,盛宣怀致王松森函,1890-1894
王松森,江苏;浙江;湖南;漕运;轮船招商局,盛宣怀致王松森函,1890-1894
王松森,四川;漕运;潘承烈;电报局;筹赈局;赈济;轮船招商局,盛宣怀致王松森函,1890-1894
王松森,江苏;浙江;漕运;轮船招商局,盛宣怀致王松森函,1890-1894
王松森,人事;唐德熙;杨廷杲;江苏;浙江;漕运;礼和洋行;蒋云卿;轮船招商局;陈晋荣,盛宣怀致王松森函,1890-1894
王松森,捐输;江苏;浙江;漕运;轮船招商局;金世昕,盛宣怀致王松森函,1890-1894
王松森,捐赈;杨廷杲;漕运;轮船招商局;金世昕,盛宣怀致王松森函,1890-1894
王松森,捐赈;杨廷杲;漕运;轮船招商局;金世昕,盛宣怀致王松森函,1890-1894
王松森,文牍处理;轮船招商局,盛宣怀致王松森函,1890-1894
王松森,人事;漕运;管理;花红;薪俸;轮船招商局,盛宣怀致王松森函,1890-1894
,码头;租赁;船只;购置;轮船招商局,Litrorchy代盛宣怀复密尔登函（英文）,1890-1894
杨廷杲;陈猷,上海机器织布局;丹科;人事;房地产;朱鸿度;机器;纺织;蔚霞;陈猷,盛宣怀致陈猷、杨廷杲函,1890-1894
杨廷杲;陈猷,上海机器织布局;丹科;机器;纺织;蔚霞,盛宣怀致陈猷、杨廷杲函,1890-1894
杨廷杲;陈猷,丹科;机器;纺织;蔚霞,盛宣怀致陈猷、杨廷杲函,1890-1894
杨廷杲;陈猷,上海机器织布局;工部局;房地产;机器;海昌轮;煤,盛宣怀致陈猷、杨廷杲函,1890-1894
谢家福,严潆;人事;唐德熙;李鸿章;轮船招商局;陈猷;马建忠,盛宣怀复谢家福函,1890-1894
沈能虎;马建忠,借贷;债务;唐德熙;租借;财务;轮船招商局;运费,盛宣怀致马建忠、沈能虎函,1890-1894
沈能虎,严潆;人事;军械;唐德熙;广州轮;海晏轮;王国章;走私;轮船招商局;马建忠,盛宣怀致沈能虎函,1890-1894
沈能虎,关务;军需;王国章;走私;轮船招商局,盛宣怀致沈能虎函,1890-1894
沈能虎,人事;叶秉良;宜昌;轮船招商局;陆宗游,盛宣怀致沈能虎函,1890-1894
沈能虎;陈猷,唐德熙;太古洋行;怡和洋行;洋行;轮船招商局;运费;运输;马建忠,盛宣怀致沈能虎、陈猷函,1890-1894
沈能虎,平度金矿;李鸿章;洋行;矿务;轮船招商局;钢铁;销售,盛宣怀致沈能虎函,1890-1894
沈能虎,唐德熙;太古洋行;德璀琳;怡和洋行;洋行;租借;蔚霞;谢家福;轮船招商局;运费;马建忠,盛宣怀致沈能虎函,1890-1894
沈能虎;谢家福,人事;周锡三;唐德熙;沈单峰;王子平;管理;轮船招商局;邵春荣;马建忠,盛宣怀致沈能虎、谢家福函,1890-1894
沈能虎,抵押;旗昌洋行;洋行;漕运;股票;财务;轮船招商局;马建忠,盛宣怀致沈能虎函,1890-1894
沈能虎,严潆;唐德熙;商务;太古洋行;怡和洋行;李鸿章;谢家福;轮船招商局;陈猷;马建忠,盛宣怀致沈能虎函,1890-1894
沈能虎;谢家福,唐廷枢;徐润;湖北;湖南;漕运;轮船招商局;马建忠,盛宣怀致沈能虎、谢家福函,1890-1894
沈能虎;马建忠,太古洋行;怡和洋行;汉口;洋行;船只;轮船招商局;运输,盛宣怀致马建忠、沈能虎函,1890-1894
沈能虎;马建忠,人事;刘安生;货栈;轮船招商局;郑国瑾;郑籣贻;鐘蔼堂,盛宣怀致马建忠、沈能虎函（3）,1890-1894
沈能虎,会匪;关务;军需;案件;梅生;聂缉椝;走私;轮船招商局;镇江,盛宣怀致沈能虎函,1890-1894
沈能虎,山东;张曜;江南制造局;洋行;淄川铝矿,盛宣怀致沈能虎函,1890-1894
沈能虎,严潆;军需;唐德熙;李鸿章;海晏轮;聂缉椝;蔚霞;走私;轮船招商局;陈猷,盛宣怀致沈能虎函,1890-1894
沈能虎,保举;文全;漕运;轮船招商局,盛宣怀致沈能虎函,1890-1894
沈能虎,威金山;房屋;案件诉讼;租借;英国;轮船招商局;领事,盛宣怀致沈能虎函,1890-1894
沈能虎,宝源祥;徐润;房屋;电报局;租借;谢家福,盛宣怀致沈能虎函,1890-1894
沈能虎,管理;轮船招商局,盛宣怀致沈能虎函,1890-1894
金忠讚,薪俸;轮船招商局;黄致尧,盛宣怀致金忠讚函,1890-1894
沈能虎,人事;李鸿章;沈能虎;轮船招商局;顾勉甫,盛宣怀致沈能虎函,1890-1894
沈能虎,人事;李鸿章;轮船招商局;顾勉甫;马建忠,盛宣怀致沈能虎函,1890-1894
沈能虎,蔚霞;财务;轮船招商局;陈猷;马建忠,盛宣怀致沈能虎函,1890-1894
沈能虎,九江府;商务;税务;财务;轮船招商局;运输;通商口岸;食品;马建忠,盛宣怀致沈能虎函,1890-1894
沈能虎,中外关系;唐德熙;商务;太古洋行;威金生;怡和洋行;洋行;电报局;租借;管理;蔚霞;谢家福;轮船招商局;郑国瑾;陈猷;马建忠;齐价合同,盛宣怀致沈能虎函,1890-1894
沈能虎,唐杰臣;太古洋行;张鸿禄;沈单峯;洋行;海关;漕运;谢家福;财务;轮船招商局;运费;齐价合同,盛宣怀致沈能虎函,1890-1894
沈能虎;郑观应,修建;张鸿禄;房地产;盛宙怀;货栈;轮船招商局;香港,盛宣怀致沈能虎、郑观应函,1890-1894
沈能虎;郑观应,房屋;抵押;旗昌洋行;洋行;电报局;租借;轮船招商局;陈猷,盛宣怀致沈能虎、郑观应函,1890-1894
张振棨,刘国香;捐官;新加坡;章明云,盛宣怀致张振棨函,1890-1894
张振棨,俞志仁;捐监;捐赈;海防;轮船招商局,盛宣怀致张振棨函,1890-1894
张振棨,丁宝元;周曾■;捐赈;海防,盛宣怀致张振棨函,1890-1894
张振棨,张志南;捐官;沈本源;章壬宪;章明云,盛宣怀致张振棨函,1890-1894
张振棨,沈能虎;湖北;湖南;漕运;粮食;轮船招商局,盛宣怀致张振棨函,1890-1894
张振棨,捐赈;汇兑;海防;湖南;章明云;财务;轮船招商局,盛宣怀致张振棨函,1890-1894
张振棨,张志南;捐官;沈本源;沈能虎;湖北;湖南;漕运;章壬宪;章明云;赈捐,盛宣怀致张振棨函,1890-1894
[张振棨],关务;天津;汇兑;财务;轮船招商局,盛宣怀致[张振棨]函,1890-1894
张振棨,捐赈;津海关;海防,盛宣怀致张振棨函,1890-1894
张振棨,沈能虎;湖北;湖南;漕运,盛宣怀致张振棨函,1890-1894
严潆,仁济和保险公司;公司;关税;怡和洋行;李鸿章;汇丰银行;法兰西银行;洋行;财务;轮船招商局;运费;铁路总公司,盛宣怀致严潆函,1890-1894
严潆,仁济和保险公司;债务;公司;徐子静;徐秋畦;房地产;抵押;法兰西银行;法国;财务;银行,盛宣怀致严潆函,1890-1894
严潆,袁世凯;财务;轮船招商局;韩国,盛宣怀致严潆函,1890-1894
严潆,唐德熙;财务;轮船招商局,盛宣怀致严潆函,1890-1894
严潆,仁济和保险公司;公司;文牍处理;朱静山;财务;轮船招商局,盛宣怀致严潆函,1890-1894
严潆,借贷;朝鲜;李鸿章;袁世凯;轮船招商局,盛宣怀致严潆函,1890-1894
严潆,仁济和保险公司;借贷;公司;利息;太古洋行;朝鲜;汇丰银行;江苏;洋行;浙江;漕运;轮船招商局,盛宣怀致严潆函,1890-1894
严潆,借贷;朝鲜;财务;轮船招商局,盛宣怀致严潆函,1890-1894
严潆,利息;外籍工师;太古洋行;德璀琳;怡和洋行;洋行;湖北;白乃富;矿务;轮船招商局;运费;马建忠,盛宣怀致严潆函,1890-1894
严潆,上海机器织布局;人事;李鸿章;管理;轮船招商局;马建忠,盛宣怀致严潆函,1890-1894
严潆,上海机器织布局;仁济和保险公司;公司;利息;外币;官款;财务;轮船招商局;运费;马建忠,盛宣怀致严潆函,1890-1894
严潆,外币;杨廷皋;汇丰银行;财务;轮船招商局;运费,盛宣怀致严潆函,1890-1894
严潆,保险;官利;杨廷皋;汇丰银行;财务;轮船招商局;运费,盛宣怀致严潆函,1890-1894
严潆,借贷;债务;汇丰银行;财务;轮船招商局;运费,盛宣怀致严潆函,1890-1894
严潆,仁济和保险公司;公司;利息;和兴公司;杨廷皋;汇丰银行;管理;股票;财务;轮船招商局;运费;马建忠,盛宣怀致严潆函,1890-1894
严潆,仁济和保险公司;借贷;公司;利息;朝鲜;李鸿章;财务;轮船招商局,盛宣怀致严潆函,1890-1894
严潆,办公用品;轮船招商局,盛宣怀致严潆函,1890-1894
严潆,保险;外币;官利;旗昌洋行;汇丰银行;洋行;轮船招商局;运费,盛宣怀致严潆函,1890-1894
严潆,上海机器织布局;管理;轮船招商局;马建忠,盛宣怀致严潆函,1890-1894
严潆,利息;存款;崔国因;轮船招商局,盛宣怀致严潆函,1890-1894
严潆,招商;李鸿章;烟台缫丝局;股票,盛宣怀致严潆函,1890-1894
严潆,事故;富有轮;杨廷皋;盛宙怀;轮船招商局;马建忠,盛宣怀致严潆函,1890-1894
严潆,利息;外币;太古洋行;怡和洋行;汇丰银行;洋行;漕运;轮船招商局;运费;马建忠,盛宣怀致严潆函,1890-1894
严潆,利息;外币;杨廷皋;财务;轮船招商局;运费,盛宣怀致严潆函,1890-1894
严潆,三畏堂;上海机器织布局;保险;借贷;抵押;李鸿章;股票;轮船招商局;马建忠,盛宣怀致严潆函,1890-1894
严潆,保险;借贷;太古洋行;怡和洋行;李鸿章;洋行;轮船;轮船招商局;齐价合同,盛宣怀致严潆函,1890-1894
严潆,杨廷皋;汇票;钱庄,盛宣怀致严潆函,1890-1894
严潆,仁济和保险公司;公司;利息;存储;有利银行;汇丰银行;法兰西银行;蔚霞;财务;运费;钱庄,盛宣怀致严潆函,1890-1894
严潆,丰顺轮;亏空;慎裕庄;抵押;案件;租借;船只;苏宝森;轮船招商局;郑国瑾,盛宣怀致严潆函,1890-1894
严潆,丰顺轮;仁济和保险公司;保险;公司;轮船招商局,盛宣怀致严潆函,1890-1894
严潆,厦门;林品川;财务;轮船招商局;运费,盛宣怀致严潆函,1890-1894
严潆;刘安生,北栈;朱粹甫;财务;费鸿生;轮船招商局;钱庄,盛宣怀致严潆、刘安生函,1890-1894
严潆,抚恤;邵寿卿,盛宣怀致严潆函,1890-1894
严潆,抵押;新济轮;海晏轮;财务;轮船招商局;运费;郑国瑾;钟蔼堂,盛宣怀致严潆函,1890-1894
严潆,仁济和保险公司;公司;股票;轮船招商局,盛宣怀致严潆函,1890-1894
严潆,人事;叶秉良;商务;太古洋行;洋行;轮船招商局;重庆;陆宗游,盛宣怀致严潆函,1890-1894
严潆,借贷;债务;汇丰银行;海军;船只;轮船招商局;运费,盛宣怀致严潆函,1890-1894
严潆,三畏堂;仁济和保险公司;借贷;公司;有利银行;朝鲜;法兰西银行;股票;谢家福;轮船招商局;运费,盛宣怀致严潆函,1890-1894
严潆,仁济和保险公司;公司;有利银行;汇丰银行;蔚霞;财务;轮船;运费;马建忠;麦加利银行,盛宣怀致严潆函,1890-1894
严潆,借贷;朝鲜;袁世凯;郑国瑾,盛宣怀致严潆函,1890-1894
严潆,唐德熙;股票;谢家福;轮船招商局;陈文炳;陈猷,盛宣怀致严潆函,1890-1894
严潆,汇丰银行;股票;谢家福;财务;轮船招商局,盛宣怀致严潆函,1890-1894
严潆,上海机器织布局;保险;股票;财务;轮船招商局,盛宣怀致严潆函,1890-1894
严潆,仁济和保险公司;公司;利息;抵押;李鸿章;沈能虎;股票;财务;轮船招商局,盛宣怀致严潆函,1890-1894
严潆,三德堂;房地产;租借,盛宣怀致严潆函,1890-1894
严潆,中外关系;借贷;朝鲜;税务;财务;轮船招商局;黄建笎,盛宣怀致严潆函,1890-1894
严潆,文牍处理;财务,盛宣怀致严潆函,1890-1894
严潆,关税;汇丰银行;汇兑;磅价;股票,盛宣怀致严潆函,1890-1894
严潆,叶亮卿;林品川;案件诉讼;汇兑;财务;轮船招商局,盛宣怀致严潆函,1890-1894
严潆,唐廷枢;唐德熙;徐润;谢家福;轮船招商局;运费;陈猷,盛宣怀致严潆函,1890-1894
严潆,仁济和保险公司;借贷;公司;利息;开平煤矿;汇丰银行;股票,盛宣怀致严潆函,1890-1894
严潆,借贷;旗昌洋行;杨丽卿;江苏;洋行;浙江;湖北;漕运;经费;轮船招商局;运费,盛宣怀致严潆函,1890-1894
严潆,严作霖;严良鼐;人事;密尔登;汇丰银行;码头;磅价;货栈;轮船招商局;黄毓齐;黄锦斐,盛宣怀致严潆函,1890-1894
严潆,叶成忠;土地;股票;货栈;轮船招商局;黄锦斐,盛宣怀致严潆函,1890-1894
严潆,三德堂;上海机器织布局;保险;租借;股票;轮船招商局;运费;陈猷,盛宣怀致严潆函,1890-1894
严潆,杨廷皋;烟台缫丝局;电报局;股票;轮船招商局;运费,盛宣怀致严潆函,1890-1894
严潆,严作霖;利息;存款;汇丰银行;赈济;轮船招商局,盛宣怀致严潆函,1890-1894
严潆,严作霖;利息;存款;汇丰银行;赈济;轮船招商局,盛宣怀致严潆函,1890-1894
严潆;刘安生,人事;借贷;码头;管理;财务;轮船招商局;郑蘭诒;钟蔼堂;马建忠,盛宣怀致严潆、刘安生函,1890-1894
严潆,严春泉;保险;汇兑;股票;财务;轮船招商局,盛宣怀致严潆函,1890-1894
严潆,侵挪;财务;轮船招商局;郑国瑾;钟霭堂,盛宣怀致严潆函,1890-1894
严潆,旗昌洋行;李鸿章;江苏;洋行;海运局;海防;漕运;运费;马建忠,盛宣怀致严潆函,1890-1894
严潆,新济轮;磅价;轮船招商局;运费,盛宣怀致严潆函,1890-1894
严潆,沈能虎;海运局;漕运;轮船招商局;运费,盛宣怀致严潆函,1890-1894
严潆,借贷;沈能虎;漕运;赈济;轮船招商局,盛宣怀致严潆函,1890-1894
陈猷,太古洋行;怡和洋行;洋行;轮船招商局;齐价合同,盛宣怀致陈猷函,1890-1894
陈猷,商务;海晏轮;轮船招商局,盛宣怀致陈猷函,1890-1894
陈猷,太古洋行;工部局;怡和洋行;洋行;轮船招商局;运费;齐价合同,盛宣怀致陈猷函,1890-1894
陈猷,唐茂枝;广丰洋行;洋行;烟台缫丝局;股票,盛宣怀致陈猷函,1890-1894
陈猷,太古洋行;怡和洋行;法国;章程;轮船招商局;邮政;齐价合同,盛宣怀致陈猷函,1890-1894
陈猷,唐茂枝;工部局;广丰洋行;洋行;烟台缫丝局;股票;轮船招商局,盛宣怀致陈猷函,1890-1894
陈猷,沈能虎;诉讼案件;轮船招商局;高易,盛宣怀致陈猷函,1890-1894
陈猷,军需;蔚霞;轮船招商局,盛宣怀致陈猷函,1890-1894
严潆;陈猷,威金生;房屋;李鸿章;案件;沈能虎;租借;经元善;英国;轮船招商局;领事,盛宣怀致陈猷、严潆函,1890-1894
陈猷,唐茂枝;广丰洋行;德国;洋行;烟台缫丝局;股票;领事,盛宣怀致陈猷函,1890-1894
陈猷,债务;怡和洋行;旗昌洋行;洋行;财务;轮船招商局;马建忠;齐价合同,盛宣怀致陈猷函,1890-1894
陈猷,克锡;太古洋行;怡和洋行;洋行;轮船招商局;齐价合同,盛宣怀致陈猷函,1890-1894
陈猷,叶秉良;密尔登;沈能虎;海滋;海琛轮;蔚霞;薪俸;轮船招商局,盛宣怀致陈猷函,1890-1894
陈猷,克锡;唐廷枢;唐荣俊;张鸿禄;徐润;轮船招商局;马建忠;齐价合同,盛宣怀致陈猷函,1890-1894
陈猷,三井洋行;克锡;太古洋行;开平煤矿;徐润;沈能虎;洋行;煤;轮船招商局;齐价合同,盛宣怀致陈猷函,1890-1894
陈猷,严潆;克锡;唐德熙;太古洋行;怡和洋行;新丰轮;洋行;轮船招商局;齐价合同,盛宣怀致陈猷函,1890-1894
陈猷,克锡;唐德熙;太古洋行;张鸿禄;怡和洋行;洋行;轮船招商局;齐价合同,盛宣怀致陈猷函,1890-1894
陈猷,唐荣俊;太古洋行;怡和洋行;旗昌洋行;杯士;洋行;码头;租借;轮船招商局;运费;香港;齐价合同,盛宣怀致陈猷函,1890-1894
陈猷,士威亚;太古洋行;怡和洋行;旗昌洋行;杯士;洋行;码头;租借;轮船招商局;齐价合同,盛宣怀致陈猷函,1890-1894
严潆,克锡;和丰洋行;怡和洋行;李鸿章;洋行;漕运;轮船招商局;运费,盛宣怀致严潆函,1890-1894
严潆,徐润;财务;轮船招商局,盛宣怀致严潆函,1890-1894
严潆,唐德熙;太古洋行;徐润;怡和洋行;李鸿章;杨廷皋;汇丰银行;洋行;管理;股票;谢家福;轮船招商局;陈文炳,盛宣怀致严潆函,1890-1894
严潆,仁济和保险公司;公司;杨廷皋;汇丰银行;股票;财务;轮船招商局;陈文炳,盛宣怀致严潆函,1890-1894
严潆,三井洋行;洋行;煤;花红;财务;轮船招商局;运费;陈猷,盛宣怀致严潆函,1890-1894
严潆,抵押;案件;股票;苏宝开;财务;轮船招商局;郑国瑾,盛宣怀致严潆函,1890-1894
严潆,上海机器织布局;仁济和保险公司;公司;股票,盛宣怀致严潆函,1890-1894
严潆,利息;抵押;沈能虎;谢家福;财务;轮船招商局,盛宣怀致严潆函,1890-1894
严潆,仁济和保险公司;公司;新盛轮;苏宝升;财务;轮船招商局;陈猷,盛宣怀致严潆函,1890-1894
严潆,三井洋行;仁济和保险公司;公司;典当;利息;徐秋畦;房地产;抵押;汇丰银行;洋行;煤;租借;美富轮;赈济,盛宣怀致严潆函,1890-1894
严潆,三井洋行;叶秉良;太古洋行;怡和洋行;抵押;汇丰银行;洋行;煤;租借;税务;营业;轮船招商局;重庆,盛宣怀致严潆函,1890-1894
严潆,三德堂;利息;开平煤矿;房地产;汇丰银行;租借;轮船招商局;运费,盛宣怀致严潆函,1890-1894
严潆,李鸿章;沈能虎;薪俸;轮船招商局,盛宣怀致严潆函,1890-1894
严潆,李鸿章;江苏;源丰润号;漕运;财务;轮船招商局;马建忠,盛宣怀致严潆函,1890-1894
严潆,人事;温州;荐举;谢孟斋;轮船招商局,盛宣怀致严潆函,1890-1894
严潆,借贷;漕运;股票;财务;轮船招商局,盛宣怀致严潆函,1890-1894
严潆,叶成忠;股票;财务;轮船招商局,盛宣怀致严潆函,1890-1894
严潆,游龙标;薪俸;轮船招商局,盛宣怀致严潆函,1890-1894
严潆,仁济和保险公司;公司;利息;股票;轮船招商局;重庆,盛宣怀致严潆函,1890-1894
張振棨;黄建笎,上海;天津;建筑;粮食;货栈;轮船招商局;运输,盛宣怀致黄建笎、張振棨函,1890-1894
郑观应,卢艺蘭;外籍工师;密尔登;德国;毛賡;矿务;雅林,盛宣怀致郑观应函,1890-1894
黄思永,天津;粮食;财务;赈济;轮船招商局,盛宣怀致黄思永函,1890-1894
黄建笎,价格;天津;轮船招商局,盛宣怀、马建忠、沈能虎致黄建笎函,1890-1894
黄建笎,付桂理;吴晓翁;图书;山东;捐赈;杨廷皋;津海关;罗郁翁;轮船招商局,盛宣怀致黄建笎函（57）,1890-1894
黄建笎,佘澄甫;军需;李鸿章;轮船招商局,盛宣怀致黄建笎函（58）,1890-1894
黄建笎,天津;财务;轮船招商局,盛宣怀致黄建笎函（59）,1890-1894
黄建笎,仁济和保险公司;佘澂翁;公司;李鸿章;电报局;轮船招商局,盛宣怀致黄建笎函（60）,1890-1894
黄建笎,借贷;财务;轮船招商局,盛宣怀致黄建笎函,1890-1894
黄建笎,财务;轮船招商局,盛宣怀致黄建笎函（61）,1890-1894
黄建笎,仁济和保险公司;公司;图书;太古洋行;漕务;财务;轮船招商局;运费,盛宣怀致黄建笎函（62）,1890-1894
黄建笎,吴焕荣;图书;捐赈;轮船招商局;顾景星,盛宣怀致黄建笎函（63）,1890-1894
黄建笎,图书;津海关;湖南;漕务;轮船招商局,盛宣怀致黄建笎函（64）,1890-1894
黄建笎,太古洋行;怡和洋行;汇票;洋行;津海关;财务;轮船招商局;运费,盛宣怀致黄建笎函（34）,1890-1894
叶子晋,天津;太古洋行;怡和洋行;洋行;管理;轮船招商局;马建忠;黄建笎;齐价合同,盛宣怀致叶子晋函,1890-1894
黄建笎,图书;经世文编,盛宣怀致黄建笎函（1）,1890-1894
叶子晋,气象;轮船招商局,盛宣怀致叶子晋函,1890-1894
黄建笎,保定练■局;借贷;朱格仁,盛宣怀致黄建笎函（35）,1890-1894
黄建笎,机器;轮船招商局,盛宣怀致黄建笎函（2）,1890-1894
黄建笎,商务;天津;太古洋行;怡和洋行;洋行;码头;管理;轮船招商局;齐价合同,盛宣怀致黄建笎函（4）,1890-1894
周子晋,商务;天津;太古洋行;怡和洋行;洋行;轮船招商局,盛宣怀致周子晋函,1890-1894
黄建笎,中外关系;借贷;唐德熙;天津;法国;经费;袁世凯;赈济;轮船招商局;银行,盛宣怀致黄建笎函（5）,1890-1894
黄建笎,天津;太古洋行;张振棨;李载之;王仲良;经费;船只;茅少山;财务;轮船招商局,盛宣怀致黄建笎函（6）,1890-1894
黄建笎,价格;天津;电报局;轮船招商局,盛宣怀致黄建笎函（7）,1890-1894
黄建笎,洋行;津海关;漕务;租借;轮船招商局;阜通洋行,盛宣怀致黄建笎函（8）,1890-1894
黄建笎,借贷;源丰润;王季棠;王爵棠;轮船招商局,盛宣怀致黄建笎函（9）,1890-1894
黄建笎,任毓华;唐德熙;太古洋行;洋行;津海关;轮船招商局;运费,盛宣怀致黄建笎函（10）,1890-1894
黄建笎,周冕;天津;煤;茅小山;轮船招商局,盛宣怀致黄建笎函（11）,1890-1894
黄建笎,借贷;王季常,盛宣怀致黄建笎函,1890-1894
黄建笎,王仲良;轮船招商局,盛宣怀致黄建笎函（13）,1890-1894
黄建笎,太古洋行;怡和洋行;洋行;财务;轮船招商局,盛宣怀致黄建笎函（14）,1890-1894
黄建笎,张振棨;张楚生;捐输;海防;盛昌颐;财务,盛宣怀致黄建笎函（15）,1890-1894
黄建笎,津海关;轮船招商局,盛宣怀致黄建笎函（16）,1890-1894
黄建笎,利息;吴调卿;天津;汇丰银行;海防;财务,盛宣怀致黄建笎函（17）,1890-1894
黄建笎,丰顺轮;关务;水灾;蔚霞;轮船招商局;马建忠,盛宣怀致黄建笎函（18）,1890-1894
黄建笎,博怡生;天津;电报局;轮船招商局,盛宣怀致黄建笎函（19）,1890-1894
黄建笎,保险;唐德熙;商务;太古洋行;怡和洋行;洋行;租借;蔚遐;赈济;轮船招商局;运费,盛宣怀致黄建笎函（20）,1890-1894
黄建笎,天津;张振棨;湖北;湖南;漕务;轮船招商局;马建忠,盛宣怀致黄建笎函（21）,1890-1894
黄建笎,天津;电报;轮船招商局,盛宣怀致黄建笎函（22）,1890-1894
黄建笎,仁济和保险公司;公司;军务;张曜;朱格仁;案件诉讼;电报局;财务;轮船招商局,盛宣怀致黄建笎函（23）,1890-1894
黄建笎,天津;山东;电报局;轮船招商局,盛宣怀致黄建笎函（24）,1890-1894
黄建笎,天津;煤;租借;轮船招商局,盛宣怀致黄建笎函（25）,1890-1894
黄建笎,天津;山东;德州府;电报局,盛宣怀致黄建笎函（26）,1890-1894
黄建笎,天津;山东;德州;电报局;轮船招商局,盛宣怀致黄建笎函（27）,1890-1894
张振棨;黄建笎,刘炳勲;天津;管理;解款;轮船招商局,盛宣怀致黄建笎、张振棨函（28）,1890-1894
黄建笎,唐松华;解款;赈济;轮船招商局,盛宣怀致黄建笎函（29）,1890-1894
黄建笎,杨廷皋;汇丰银行;电报局;粮食;轮船招商局,盛宣怀致黄建笎函（30）,1890-1894
黄建笎,图书;杨廷皋;杨艺舫;赈济;轮船招商局;运费,盛宣怀致黄建笎函（31）,1890-1894
黄建笎,行程;轮船招商局;运费,盛宣怀致黄建笎函（32）,1890-1894
黄建笎,轮船招商局;运输,盛宣怀致黄建笎函（33）,1890-1894
黄建笎,图书;电报局;赈济,盛宣怀致黄建笎函（34）,1890-1894
